STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
OPAL,Opal Luxury Time Products Limited,0,0.0,,43.0,NO TREND,NO TREND,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
OPTIEMUS,Optiemus Infracom Limited,2158,13754.0,0.33,670.0,DECREASING,INCREASING,42.47,-0.05,41.92,2.19,STAY,BUY,SELL,0.18,STAY,False,False,STAY,0.34,-1.33,0.0,"['DOJI', 'DOJISTAR', 'LONGLEGGEDDOJI']",100,,-100
OPTOCIRCUI,Opto Circuits (India) Limited,0,0.0,,1.8,NO TREND,NO TREND,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
ORBTEXP,Orbit Exports Limited,381,8324.0,0.52,178.66,NO TREND,INCREASING,47.92,-0.14,7.89,4.08,STAY,BUY,SELL,0.03,STAY,False,False,STAY,0.38,-1.46,0.0,,-100,,0
ORCHPHARMA,Orchid Pharma Limited,5299,25451.0,0.28,1480.0,INCREASING,INCREASING,59.67,-2.5,67.15,1.92,STAY,BUY,BUY,0.73,STAY,False,False,STAY,0.05,-1.29,0.0,,0,,0
ORIANA,Oriana Power Limited,1423,62100.0,0.51,2483.55,NO TREND,INCREASING,65.02,-3.64,123.57,-2.52,STAY,BUY,BUY,0.84,STRONG BUY,False,False,STAY,0.6,-2.13,0.0,,0,,0
ORICONENT,Oricon Enterprises Limited,570,239951.0,0.84,32.94,DECREASING,INCREASING,38.53,-2.15,1.54,0.55,BUY,SELL,SELL,0.66,STAY,False,False,STAY,0.47,-2.92,0.0,,0,,0
ORIENTALTL,Oriental Trimex Limited,24,6857.0,0.58,10.23,DECREASING,INCREASING,21.24,-1.09,0.33,2.49,BUY,SELL,SELL,0.16,STRONG SELL,False,False,STAY,0.02,-4.03,0.0,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI']",300,,-200
ORIENTBELL,Orient Bell Limited,506,4942.0,0.17,316.75,DECREASING,DECREASING,39.63,1.64,15.6,3.97,BUY,BUY,SELL,0.38,STAY,False,False,STAY,-0.23,0.91,0.0,,0,,0
ORIENTCEM,Orient Cement Limited,4011,420660.0,0.47,338.85,INCREASING,INCREASING,59.63,1.33,11.27,2.57,STAY,BUY,STRONG BUY,0.44,STAY,False,False,STAY,0.3,1.15,0.0,,0,,0
ORIENTCER,ORIENT CERATECH LIMITED,568,20393.0,0.62,46.54,DECREASING,INCREASING,40.74,-0.89,2.37,2.51,STAY,BUY,SELL,0.98,STAY,False,False,STAY,0.38,0.09,0.0,,0,"['DOJI', 'DOJISTAR', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",500
ORIENTELEC,Orient Electric Limited,4120,79704.0,0.36,241.46,NO TREND,DECREASING,52.06,-1.01,9.8,2.51,STAY,BUY,BUY,0.14,STAY,False,False,STAY,0.34,-0.47,0.0,,0,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",300
ORIENTHOT,Oriental Hotels Limited,2059,374540.0,0.81,185.25,NO TREND,INCREASING,58.04,-3.13,7.9,0.92,STAY,BUY,BUY,0.29,STAY,False,False,STAY,0.43,-1.72,0.0,,0,,0
ORIENTLTD,Orient Press Limited,75,15524.0,0.17,110.05,NO TREND,INCREASING,53.61,-1.78,8.46,2.79,STAY,BUY,BUY,0.1,STAY,False,False,SELL,0.61,-4.18,0.0,,0,,-100
